,State,Ttl$_Households_13,Households_Earnings%_13,Mean_Earnings$_13,SS_Income%_13,Mean_SS_Income$_13,SSupp_Income%_13,Mean_SSupp_Income$_13,Public_Assist_Income%_13,Mean_Public_Assist_Income$_13,Retirement_Income%_13_%,Mean_Retirement_Income$_13,Food_Stamp_Benefits%_13,Ttl$_Households_14,Households_Earnings%_14,Mean_Earnings$_14,SS_Income%_14,Mean_SS_Income$_14,SSupp_Income%_14,Mean_SSupp_Income$_14,Public_Assist_Income%_14,Mean_Public_Assist_Income$_14,Retirement_Income%_14_%,Mean_Retirement_Income$_14,Food_Stamp_Benefits%_14,Ttl$_Households_15,Households_Earnings%_15,Mean_Earnings$_15,SS_Income%_15,Mean_SS_Income$_15,SSupp_Income%_15,Mean_SSupp_Income$_15,Public_Assist_Income%_15,Mean_Public_Assist_Income$_15,Retirement_Income%_15_%,Mean_Retirement_Income$_15,Food_Stamp_Benefits%_15,Ttl$_Households_16,Households_Earnings%_16,Mean_Earnings$_16,SS_Income%_16,Mean_SS_Income$_16,SSupp_Income%_16,Mean_SSupp_Income$_16,Public_Assist_Income%_16,Mean_Public_Assist_Income$_16,Retirement_Income%_16_%,Mean_Retirement_Income$_16,Food_Stamp_Benefits%_16,Ttl$_Households_17,Households_Earnings%_17,Mean_Earnings$_17,SS_Income%_17,Mean_SS_Income$_17,SSupp_Income%_17,Mean_SSupp_Income$_17,Public_Assist_Income%_17,Mean_Public_Assist_Income$_17,Retirement_Income%_17_%,Mean_Retirement_Income$_17,Food_Stamp_Benefits%_17
0,Alabama,1838683,73.5,62041,33.3,16503,6.4,8617,1.8,2611,20.4,21452,15.2,1842174,73.1,62784,33.7,16905,6.7,8878,1.8,2632,20.6,22126,15.8,1848325,72.7,63059,34.4,17058,6.7,8870,1.8,2672,21.0,22126,16.1,1851061,72.5,64659,35.0,17463,6.7,9031,1.8,2660,21.1,22788,15.6,1856695,72.4,67093,35.4,18123,6.7,9329,1.7,2693,21.4,23470,15.0
1,Alaska,251899,87.0,82512,19.4,15114,4.0,9013,6.4,4258,18.5,28400,10.4,251678,86.7,84563,19.6,15585,4.3,9343,6.2,4259,18.6,28508,10.4,250969,86.5,85341,20.0,15826,4.6,9424,6.3,4179,18.8,28438,10.5,250235,86.3,87627,20.5,16571,4.5,9496,6.3,4159,19.3,28895,10.5,252536,86.0,90061,21.1,17091,4.5,9901,6.3,4020,19.4,30401,10.3
2,Arizona,2370289,75.8,67498,30.6,18179,3.9,9431,2.6,3544,19.4,24632,13.2,2387246,75.1,68284,31.4,18683,4.2,9683,2.5,3462,19.6,24698,13.6,2412212,74.8,68904,32.0,18862,4.2,9698,2.3,3188,19.9,24807,13.5,2448919,74.7,71102,32.6,19240,4.3,9880,2.1,2950,20.1,25197,13.2,2482311,74.7,74501,32.9,19852,4.3,10165,2.0,2739,20.2,25884,12.5
3,Arkansas,1129723,74.1,57511,34.5,16371,6.6,8498,2.4,3286,17.4,19138,14.6,1132488,73.6,58788,34.8,16823,6.9,8826,2.4,3329,17.5,19527,14.8,1138025,73.2,59490,35.1,16942,7.0,8851,2.4,3142,17.8,19528,14.8,1141480,73.1,61137,35.5,17333,6.9,8956,2.3,2946,17.8,19567,14.3,1147291,73.1,63854,35.8,17917,6.8,9245,2.1,2933,18.0,20108,13.6
4,California,12542460,80.7,85703,25.4,16777,5.8,9791,4.0,5489,15.5,28083,8.1,12617280,80.4,87087,25.8,17188,6.2,9910,4.0,5281,15.6,28884,8.7,12717801,80.4,88195,26.3,17351,6.2,9813,3.9,4956,15.8,29405,9.2,12807387,80.4,91564,26.7,17741,6.2,9861,3.8,4727,15.9,30242,9.4,12888128,80.6,96538,27.1,18270,6.2,10033,3.6,4596,16.0,31540,9.3
5,Colorado,1977591,82.7,77089,23.0,16820,3.3,9452,2.2,3792,15.8,27311,8.0,1998314,82.4,78841,23.6,17294,3.5,9656,2.2,3678,16.0,27700,8.6,2024468,82.2,80459,24.1,17548,3.5,9556,2.2,3627,16.3,28062,8.7,2051616,82.3,83134,24.6,17939,3.5,9753,2.1,3460,16.6,28748,8.6,2082531,82.2,87290,24.9,18596,3.4,9987,2.1,3401,16.6,29511,8.2
6,Connecticut,1355849,79.7,100229,29.1,18345,3.8,9437,3.1,4410,17.8,25967,10.7,1356206,79.3,101558,29.3,18828,4.2,9552,3.3,4465,17.9,27035,11.6,1352583,79.1,102709,29.7,18993,4.2,9716,3.4,4302,18.1,27263,12.1,1354713,79.2,105331,30.1,19483,4.3,9847,3.6,4068,18.4,28095,12.4,1361755,78.9,108610,30.8,20124,4.4,9885,3.7,4255,18.8,29133,12.4
7,Delaware,335707,78.1,77636,32.2,18654,4.2,10481,2.7,3028,23.6,24596,12.1,339046,77.6,78500,32.6,19097,4.4,10934,2.6,3008,23.6,25529,12.7,344022,77.3,79260,33.0,19339,4.6,10725,2.5,2969,23.6,25483,13.0,348051,76.9,80508,33.6,19849,4.6,10644,2.4,2761,23.6,26617,13.0,352357,76.6,84319,34.0,20531,4.3,10812,2.3,2639,23.9,28442,12.1
8,District of Columbia,263649,80.6,106471,18.8,14233,5.3,8526,4.2,3989,14.7,38566,13.9,267415,80.6,110607,18.7,14689,5.7,8826,3.9,3868,14.4,40251,14.1,273390,80.5,113189,18.5,14930,5.8,9014,3.7,3666,14.4,41361,14.9,276546,80.5,116487,18.8,15404,5.7,9320,3.9,3597,14.0,42355,15.0,277985,80.2,122158,19.4,15960,5.5,9527,3.7,3261,14.4,43423,14.4
9,Florida,7158980,72.8,66453,35.1,17666,4.5,9148,2.1,3363,19.3,24931,13.3,7217508,72.4,67371,35.6,18153,4.9,9375,2.2,3283,19.3,25455,14.3,7300494,72.2,68215,36.1,18322,5.0,9381,2.2,3009,19.5,25624,14.8,7393262,72.1,70229,36.5,18731,5.0,9502,2.2,2836,19.7,26105,14.8,7510882,72.3,73380,36.8,19309,5.1,9729,2.1,2669,19.7,26916,14.4
