,State,Company_Size,2012_#Companies,2012_Co_Size%,2013_#Companies,2013_Co_Size%,2014_#Companies,2014_Co_Size%,2015_#Companies,2015_Co_Size%,2016_#Companies,2016_Co_Size%
0,Alabama,\\0-4,39993,54.3,39890,54.4,39562,54.1,39724,54.1,39880,53.9
1,Alabama,\\5-9,13803,18.7,13622,18.6,13603,18.6,13646,18.6,13721,18.5
2,Alabama,\\10-19,8277,11.2,8199,11.2,8215,11.2,8205,11.2,8281,11.2
3,Alabama,\\20-99,7280,9.9,7258,9.9,7360,10.1,7358,10.0,7539,10.2
4,Alabama,\\100-499,1926,2.6,1977,2.7,1974,2.7,1981,2.7,2017,2.7
5,Alabama,\\500+,2382,3.2,2425,3.3,2440,3.3,2495,3.4,2538,3.4
6,Alaska,\\0-4,9979,59.9,9955,59.5,10081,59.9,10065,59.4,10175,59.6
7,Alaska,\\5-9,2826,17.0,2869,17.1,2839,16.9,2919,17.2,2908,17.0
8,Alaska,\\10-19,1732,10.4,1742,10.4,1735,10.3,1756,10.4,1753,10.3
9,Alaska,\\20-99,1192,7.2,1211,7.2,1220,7.2,1226,7.2,1233,7.2
10,Alaska,\\100-499,334,2.0,347,2.1,349,2.1,354,2.1,339,2.0
11,Alaska,\\500+,593,3.6,609,3.6,617,3.7,632,3.7,651,3.8
12,Arizona,\\0-4,60802,60.1,61384,60.0,61739,59.8,62665,59.7,63733,59.6
13,Arizona,\\5-9,16360,16.2,16228,15.9,16301,15.8,16445,15.7,16648,15.6
14,Arizona,\\10-19,9669,9.6,9932,9.7,10125,9.8,10367,9.9,10651,10.0
15,Arizona,\\20-99,8755,8.7,9066,8.9,9363,9.1,9652,9.2,9986,9.3
16,Arizona,\\100-499,2671,2.6,2661,2.6,2671,2.6,2699,2.6,2662,2.5
17,Arizona,\\500+,2948,2.9,3042,3.0,3113,3.0,3176,3.0,3283,3.1
18,Arkansas,\\0-4,28542,56.6,28610,56.9,28359,56.5,28802,57.1,28515,56.5
19,Arkansas,\\5-9,9178,18.2,9083,18.1,9045,18.0,8789,17.4,8913,17.6
20,Arkansas,\\10-19,5280,10.5,5212,10.4,5174,10.3,5218,10.3,5291,10.5
21,Arkansas,\\20-99,4535,9.0,4491,8.9,4618,9.2,4650,9.2,4766,9.4
