,State,2013 Under 5 years,2014 - Under 5 years,2015 - Under 5 years,2016 - Under 5 years,2017 - Under 5 years,2013 - 5 to 9 years,2014 - 5 to 9 years,2015 - 5 to 9 years,2016 - 5 to 9 years,2017 - 5 to 9 years,2013 - 10 to 14 years,2014 - 10 to 14 years,2015 - 10 to 14 years,2016 - 10 to 14 years,2017 - 10 to 14 years,2013 - 15 to 19 years,2014 - 15 to 19 years,2015 - 15 to 19 years,2016 - 15 to 19 years,2017 - 15 to 19 years,2013 - 20 to 24 years,2014 - 20 to 24 years,2015 - 20 to 24 years,2016 - 20 to 24 years,2017 - 20 to 24 years,2013 - 25 to 29 years,2014 - 25 to 29 years,2015 - 25 to 29 years,2016 - 25 to 29 years,2017 - 25 to 29 years,2013 - 30 to 34 years,2014 - 30 to 34 years,2015 - 30 to 34 years,2016 - 30 to 34 years,2017 - 30 to 34 years,2013 - 35 to 39 years,2014 - 35 to 39 years,2015 - 35 to 39 years,2016 - 35 to 39 years,2017 - 35 to 39 years,2013 - 40 to 44 years,2014 - 40 to 44 years,2015 - 40 to 44 years,2016 - 40 to 44 years,2017 - 40 to 44 years,2013 - 45 to 49 years,2014 - 45 to 49 years,2015 - 45 to 49 years,2016 - 45 to 49 years,2017 - 45 to 49 years,2013 - 50 to 54 years,2014 - 50 to 54 years,2015 - 50 to 54 years,2016 - 50 to 54 years,2017 - 50 to 54 years,2013 - 55 to 59 years,2014 - 55 to 59 years,2015 - 55 to 59 years,2016 - 55 to 59 years,2017 - 55 to 59 years,2013 - 60 to 64 years,2014 - 60 to 64 years,2015 - 60 to 64 years,2016 - 60 to 64 years,2017 - 60 to 64 years,2013 - 65 to 69 years,2014 - 65 to 69 years,2015 - 65 to 69 years,2016 - 65 to 69 years,2017 - 65 to 69 years,2013 - 70 to 74 years,2014 - 70 to 74 years,2015 - 70 to 74 years,2016 - 70 to 74 years,2017 - 70 to 74 years,2013 - 75 to 79 years,2014 - 75 to 79 years,2015 - 75 to 79 years,2016 - 75 to 79 years,2017 - 75 to 79 years,2013 - 80 to 84 years,2014 - 80 to 84 years,2015 - 80 to 84 years,2016 - 80 to 84 years,2017 - 80 to 84 years,2013 - 85 years and over,2014 - 85 years and over,2015 - 85 years and over,2016 - 85 years and over,2017 - 85 years and over
0,Alabama,294541,293552,293904,293581,293554,306895,306281,305293,303815,301285,316772,313855,309622,306649,308459,320926,318496,319793,321050,318807,356560,354041,345830,335898,329597,311340,316332,323922,332156,338151,307713,307513,305008,302966,302151,291317,292385,295636,299887,302111,315598,311477,304241,293725,289684,318951,311537,308806,311648,313756,345719,344504,339769,331839,322876,332627,334722,337206,338264,337258,289263,293695,299788,306186,313287,239877,250023,260188,271004,268693,177893,183948,188828,192779,208639,129672,133056,135525,138464,143159,90206,90879,92034,93715,95101,81790,83741,85465,86919,88179
1,Alaska,55261,55245,55022,54664,54083,52020,51736,51677,52429,52072,50618,49879,49315,49434,49463,48667,47975,47337,47237,46802,60931,60417,59420,57149,54717,60420,60876,61485,62743,62720,54458,55914,56627,57752,57495,45583,46119,47495,49342,50424,46518,45220,44037,43006,42788,47803,45921,45268,45018,44497,54545,53189,51097,48969,46788,52232,51690,51310,50920,50140,41515,42512,43805,44563,45226,27492,29199,31100,33056,33860,16675,18005,19168,20034,22044,10047,10431,11011,11859,12783,6527,6670,6760,7031,7339,5448,5761,6045,6316,6554
2,Arizona,433645,433312,434662,435789,437262,458750,458614,456082,454833,451159,452351,454777,455569,458837,465903,450514,453305,459496,465694,467307,484680,489858,487678,485556,484302,442372,452332,466720,483734,499932,441664,446956,448484,452368,455962,408726,413649,422607,433761,444880,420726,419645,416571,411807,413800,407155,405580,410659,420852,427684,428579,430690,429171,424030,420080,404368,412033,421332,430258,435609,369885,376880,386455,397252,410644,332078,347939,365026,383407,382289,255306,268711,280921,291340,319120,180093,189827,198751,208581,221148,127272,129333,133074,137291,142462,117960,122994,129004,133252,136727
3,Arkansas,191474,190937,190993,191243,191435,200062,198801,197866,196597,195143,198172,197771,196934,197057,199158,196803,196757,197993,198695,198327,212450,212104,208517,204612,202825,190668,192203,196611,201791,205551,192604,192849,191285,190138,189913,178367,179894,183144,186973,189713,185992,184131,181496,177514,176563,187648,182368,180875,182921,184419,203376,202949,200733,195675,190232,193142,194198,195933,197496,197723,172669,174605,177373,180397,184133,148190,153020,157542,163306,161359,112690,116439,118811,120164,129150,81055,82937,84772,87262,90646,57087,57489,58387,59144,60107,54331,55348,56361,57246,57882
4,California,2502704,2506873,2508080,2484772,2471513,2557993,2552838,2542841,2537586,2514352,2527672,2526046,2519450,2521944,2542780,2660411,2621049,2601674,2584121,2562668,2926032,2921844,2876341,2814877,2767775,2842478,2914017,2995727,3078838,3130234,2757449,2807410,2836224,2869571,2893545,2533145,2560490,2609080,2660242,2713487,2628325,2598821,2556436,2516418,2509575,2586208,2569031,2586074,2607259,2607438,2635384,2648886,2629924,2593105,2555250,2407215,2446810,2491033,2519483,2528756,2001551,2059250,2119921,2175783,2233922,1571281,1654775,1739335,1816445,1825565,1110762,1163582,1217542,1264633,1370235,815036,842110,868622,894987,929630,616518,621007,627245,635363,647135,667219,686439,706895,721049,732793
5,Colorado,334332,333700,334402,335103,336207,355953,355180,355399,353832,349903,348470,353958,357458,359685,363136,339489,342147,347627,353164,356450,368333,374333,378138,379255,377367,389859,397946,412296,426599,440350,389290,398852,409844,421197,430312,353374,361966,374701,389095,401373,364012,362287,360503,356651,358401,344797,343619,350056,360241,366386,374346,372279,366525,357263,348747,353819,358851,364714,369309,368749,302763,311807,321289,329623,337731,230331,245409,261222,277052,279914,153275,162370,171305,179128,199306,105056,109307,113574,118408,124737,76893,77655,78737,79951,81817,78164,80645,82655,84549,86268
6,Connecticut,190707,188459,186567,184228,183321,214705,210157,205882,202376,199435,231973,228733,225034,221987,220038,254325,252233,249741,247788,245081,238865,244491,247295,248457,248134,220885,220672,220295,220005,222575,217075,218208,218628,220407,221623,207094,208038,210410,213053,215791,240912,230822,220234,210716,206940,270817,261907,255721,250187,243944,286126,284964,281217,274996,268373,264565,268598,271711,273553,272267,213489,219033,225390,231714,238252,173708,179065,184769,190317,188250,123766,130036,134872,139086,150013,89424,91310,92953,95361,100084,73892,72491,71691,71330,71408,90142,90971,91452,92124,92655
7,Delaware,55534,55414,55401,55187,54992,56729,56645,56666,56742,56671,57065,57138,57104,57381,57604,60459,59768,60043,60264,60541,65805,64686,62577,60604,59650,61346,63966,66207,67629,68250,58487,59169,59597,60272,61028,52451,53677,55267,56706,57895,58328,56947,55125,52967,52421,63212,61520,60991,60615,59724,67677,68003,67774,66916,65809,63935,65565,66823,67910,68556,56553,58108,60082,62349,64670,49723,52362,55141,58068,58226,36650,38753,40542,42102,46321,25481,26619,27443,28756,30541,18377,18573,18902,19194,19524,17302,17892,18422,19036,19516
8,District of Columbia,41175,42833,44169,44465,45035,29758,30858,32268,34159,36123,25420,25914,26346,26557,27603,37574,36886,36614,36673,36919,56634,55823,55043,54349,53576,80246,80591,81416,82573,83447,69902,72452,74986,77550,79155,47841,50541,53801,57332,59943,41220,41538,41605,41397,42095,38088,37725,37843,38637,38821,38559,38871,38763,38359,37394,36612,36694,36856,37003,36638,32033,32557,32972,33235,33489,24794,25989,27169,28255,28021,17287,18062,18724,19055,20198,12354,12637,13068,13419,13903,9374,9282,9279,9403,9479,11243,11544,11814,11915,12133
9,Florida,1073054,1088191,1109048,1126865,1138095,1115360,1123603,1133804,1146149,1151438,1134271,1138449,1145877,1161087,1181330,1174648,1174179,1185503,1198540,1203740,1320411,1318595,1302530,1281767,1269168,1256627,1297330,1346916,1394249,1421894,1207418,1237445,1265891,1297507,1320786,1146350,1166769,1203893,1245171,1280618,1269688,1264071,1251783,1236780,1237233,1331097,1309582,1312994,1334113,1348105,1409670,1431439,1440369,1434721,1419730,1312208,1344687,1382220,1422246,1448417,1191764,1222733,1262077,1303453,1349211,1104226,1153154,1206706,1263616,1256319,884733,925736,965308,1000913,1086197,662760,690565,715691,744385,781063,496888,499504,508723,520835,535504,493754,511715,529234,544192,555552
