,State,All_Races_13,White_13,Black_13,Native_13,Asian_13,Hawaiian_Other_13,Other_13,Mixed_Race_13,All_Races_14,White_14,Black_14,Native_14,Asian_14,Hawaiian_Other_14,Other_14,Mixed_Race_14,All_Races_15,White_15,Black_15,Native_15,Asian_15,Hawaiian_Other_15,Other_15,Mixed_Race_15,All_Races_16,White_16,Black_16,Native_16,Asian_16,Hawaiian_Other_16,Other_16,Mixed_Race_16,All_Races_17,White_17,Black_17,Native_17,Asian_17,Hawaiian_Other_17,Other_17,Mixed_Race_17
0,Alabama,98.5,69.3,26.3,0.5,1.2,0.0,1.2,1.5,98.4,69.1,26.4,0.5,1.2,0.0,1.2,1.6,98.3,68.8,26.4,0.5,1.2,0.1,1.3,1.7,98.2,68.7,26.5,0.5,1.3,0.0,1.3,1.8,98.2,68.4,26.5,0.5,1.3,0.0,1.4,1.8
1,Alaska,92.1,66.9,3.5,14.1,5.4,1.1,1.2,7.9,92.0,66.5,3.5,14.1,5.6,1.1,1.2,8.0,91.6,66.0,3.4,13.8,5.9,1.2,1.3,8.4,91.5,65.6,3.3,14.1,6.0,1.2,1.3,8.5,91.5,65.3,3.2,14.2,6.2,1.2,1.4,8.5
2,Arizona,97.0,79.2,4.2,4.4,2.8,0.2,6.2,3.0,96.9,78.9,4.2,4.4,2.9,0.2,6.4,3.1,96.8,78.4,4.2,4.4,3.0,0.2,6.5,3.2,96.7,77.8,4.3,4.4,3.1,0.2,7.0,3.3,96.5,77.5,4.3,4.4,3.1,0.2,7.0,3.5
3,Arkansas,98.0,78.3,15.5,0.6,1.3,0.2,2.2,2.0,98.0,78.3,15.5,0.6,1.3,0.2,2.1,2.0,97.9,78.0,15.5,0.6,1.4,0.2,2.1,2.1,97.8,77.7,15.5,0.6,1.4,0.2,2.3,2.2,97.6,77.3,15.4,0.7,1.4,0.2,2.5,2.4
4,California,95.7,62.3,6.0,0.8,13.3,0.4,12.9,4.3,95.5,62.1,5.9,0.8,13.5,0.4,12.8,4.5,95.5,61.8,5.9,0.7,13.7,0.4,12.9,4.5,95.4,61.3,5.9,0.7,13.9,0.4,13.3,4.6,95.3,60.6,5.8,0.7,14.1,0.4,13.7,4.7
5,Colorado,96.6,84.0,4.0,1.0,2.8,0.1,4.7,3.4,96.5,84.0,4.0,1.0,2.8,0.1,4.6,3.5,96.5,84.2,4.0,0.9,2.9,0.1,4.3,3.5,96.6,84.3,4.1,0.9,2.9,0.1,4.2,3.4,96.5,84.2,4.1,0.9,3.0,0.2,4.1,3.5
6,Connecticut,97.4,77.9,10.1,0.2,4.0,0.0,5.1,2.6,97.2,77.6,10.2,0.2,4.1,0.0,5.1,2.8,97.2,77.3,10.3,0.2,4.2,0.0,5.1,2.8,97.0,77.1,10.4,0.3,4.3,0.0,4.9,3.0,96.9,76.7,10.5,0.3,4.4,0.0,5.1,3.1
7,Delaware,97.5,70.0,21.5,0.3,3.3,0.1,2.3,2.5,97.4,69.7,21.6,0.3,3.5,0.1,2.2,2.6,97.3,69.4,21.6,0.3,3.6,0.0,2.3,2.7,97.2,69.2,21.7,0.4,3.7,0.0,2.2,2.8,97.2,69.1,21.9,0.4,3.9,0.0,2.0,2.8
8,District of Columbia,97.7,40.1,50.1,0.3,3.5,0.0,3.6,2.3,97.5,40.2,49.6,0.3,3.6,0.0,3.8,2.5,97.3,40.2,48.9,0.3,3.7,0.0,4.2,2.7,97.2,40.4,48.3,0.3,3.6,0.0,4.5,2.8,97.1,40.7,47.7,0.3,3.8,0.0,4.6,2.9
9,Florida,97.7,76.3,16.0,0.3,2.5,0.1,2.6,2.3,97.7,76.2,16.1,0.3,2.5,0.1,2.5,2.3,97.6,76.0,16.1,0.3,2.6,0.1,2.5,2.4,97.5,75.9,16.1,0.3,2.6,0.1,2.5,2.5,97.5,75.7,16.1,0.3,2.7,0.1,2.6,2.5
