,Geography,"April 1, 2010 - Census - Both Sexes; Total","April 1, 2010 - Estimates Base - Both Sexes; Total",Population Estimate (as of July 1) - 2010 - Both Sexes; Total,Population Estimate (as of July 1) - 2011 - Both Sexes; Total,Population Estimate (as of July 1) - 2012 - Both Sexes; Total,Population Estimate (as of July 1) - 2013 - Both Sexes; Total,Population Estimate (as of July 1) - 2014 - Both Sexes; Total,Population Estimate (as of July 1) - 2015 - Both Sexes; Total,Population Estimate (as of July 1) - 2016 - Both Sexes; Total,Population Estimate (as of July 1) - 2017 - Both Sexes; Total,"April 1, 2010 - Census - Both Sexes; Total - Under 5 years","April 1, 2010 - Estimates Base - Both Sexes; Total - Under 5 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - Under 5 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - Under 5 years,"April 1, 2010 - Census - Both Sexes; Total - 5 to 9 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 5 to 9 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 5 to 9 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 5 to 9 years,"April 1, 2010 - Census - Both Sexes; Total - 10 to 14 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 10 to 14 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 10 to 14 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 10 to 14 years,"April 1, 2010 - Census - Both Sexes; Total - 15 to 19 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 15 to 19 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 15 to 19 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 15 to 19 years,"April 1, 2010 - Census - Both Sexes; Total - 20 to 24 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 20 to 24 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 20 to 24 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 20 to 24 years,"April 1, 2010 - Census - Both Sexes; Total - 25 to 29 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 25 to 29 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 25 to 29 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 25 to 29 years,"April 1, 2010 - Census - Both Sexes; Total - 30 to 34 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 30 to 34 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 30 to 34 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 30 to 34 years,"April 1, 2010 - Census - Both Sexes; Total - 35 to 39 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 35 to 39 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 35 to 39 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 35 to 39 years,"April 1, 2010 - Census - Both Sexes; Total - 40 to 44 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 40 to 44 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 40 to 44 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 40 to 44 years,"April 1, 2010 - Census - Both Sexes; Total - 45 to 49 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 45 to 49 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 45 to 49 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 45 to 49 years,"April 1, 2010 - Census - Both Sexes; Total - 50 to 54 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 50 to 54 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 50 to 54 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 50 to 54 years,"April 1, 2010 - Census - Both Sexes; Total - 55 to 59 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 55 to 59 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 55 to 59 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 55 to 59 years,"April 1, 2010 - Census - Both Sexes; Total - 60 to 64 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 60 to 64 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 60 to 64 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 60 to 64 years,"April 1, 2010 - Census - Both Sexes; Total - 65 to 69 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 65 to 69 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 65 to 69 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 65 to 69 years,"April 1, 2010 - Census - Both Sexes; Total - 70 to 74 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 70 to 74 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 70 to 74 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 70 to 74 years,"April 1, 2010 - Census - Both Sexes; Total - 75 to 79 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 75 to 79 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 75 to 79 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 75 to 79 years,"April 1, 2010 - Census - Both Sexes; Total - 80 to 84 years","April 1, 2010 - Estimates Base - Both Sexes; Total - 80 to 84 years",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 80 to 84 years,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 80 to 84 years,"April 1, 2010 - Census - Both Sexes; Total - 85 years and over","April 1, 2010 - Estimates Base - Both Sexes; Total - 85 years and over",Population Estimate (as of July 1) - 2010 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2011 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2012 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2013 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2014 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2015 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2016 - Both Sexes; Total - 85 years and over,Population Estimate (as of July 1) - 2017 - Both Sexes; Total - 85 years and over
0,Alabama,4779736,4780135,4785579,4798649,4813946,4827660,4840037,4850858,4860545,4874747,304957,304961,304266,302802,299194,294541,293552,293904,293581,293554,308229,308232,307245,304638,305697,306895,306281,305293,303815,301285,319655,319655,320128,321545,319737,316772,313855,309622,306649,308459,343471,343475,340838,329869,323668,320926,318496,319793,321050,318807,335322,335342,337771,346637,353245,356560,354041,345830,335898,329597,311034,311080,311153,309985,309585,311340,316332,323922,332156,338151,297888,297930,299441,304220,306478,307713,307513,305008,302966,302151,308430,308462,306598,296362,292346,291317,292385,295636,299887,302111,311071,311100,311600,314408,316148,315598,311477,304241,293725,289684,346369,346402,345437,337098,327674,318951,311537,308806,311648,313756,347485,347516,347912,348972,347051,345719,344504,339769,331839,322876,311906,311929,314043,320433,327547,332627,334722,337206,338264,337258,276127,276142,278298,289656,287499,289263,293695,299788,306186,313287,209637,209652,210710,214746,231415,239877,250023,260188,271004,268693,160864,160883,161560,164567,169760,177893,183948,188828,192779,208639,122836,122866,123130,124783,126412,129672,133056,135525,138464,143159,88771,88793,89209,90022,90302,90206,90879,92034,93715,95101,75684,75715,76240,77906,80188,81790,83741,85465,86919,88179
1,Alaska,710231,710249,714015,722259,730825,736760,736759,737979,741522,739795,53996,53996,54408,55339,55104,55261,55245,55022,54664,54083,50887,50887,51079,51362,51896,52020,51736,51677,52429,52072,50816,50816,50922,50870,50786,50618,49879,49315,49434,49463,52141,52142,52005,50784,49549,48667,47975,47337,47237,46802,54419,54421,54987,56364,58824,60931,60417,59420,57149,54717,55419,55420,56143,57845,58951,60420,60876,61485,62743,62720,47706,47706,48344,50258,52338,54458,55914,56627,57752,57495,45833,45834,45778,44755,45153,45583,46119,47495,49342,50424,47141,47146,47261,47376,47268,46518,45220,44037,43006,42788,54726,54727,54392,52460,50298,47803,45921,45268,45018,44497,56300,56304,56344,56248,55620,54545,53189,51097,48969,46788,49971,49972,50291,51355,52306,52232,51690,51310,50920,50140,35938,35940,36497,39022,40212,41515,42512,43805,44563,45226,22202,22202,22461,23509,25907,27492,29199,31100,33056,33860,13148,13148,13374,14321,15445,16675,18005,19168,20034,22044,8892,8892,8922,9186,9575,10047,10431,11011,11859,12783,5985,5985,6044,6232,6426,6527,6670,6760,7031,7339,4711,4711,4763,4973,5167,5448,5761,6045,6316,6554
2,Arizona,6392017,6392309,6407002,6465488,6544211,6616124,6706435,6802262,6908642,7016270,455715,455716,453350,444870,438417,433645,433312,434662,435789,437262,453680,453682,452944,449750,454977,458750,458614,456082,454833,451159,448664,448664,449175,450664,451698,452351,454777,455569,458837,465903,461582,461586,459774,452999,450961,450514,453305,459496,465694,467307,442584,442606,446649,463108,478099,484680,489858,487678,485556,484302,439998,440010,439843,439984,439818,442372,452332,466720,483734,499932,416695,416698,418568,426327,433897,441664,446956,448484,452368,455962,415693,415698,414181,405969,406179,408726,413649,422607,433761,444880,406801,406806,408521,416035,420735,420726,419645,416571,411807,413800,427022,427023,426103,418677,412016,407155,405580,410659,420852,427684,415524,415528,417178,423120,426504,428579,430690,429171,424030,420080,375268,375270,377429,385338,395879,404368,412033,421332,430258,435609,350960,350980,354183,369318,366123,369885,376880,386455,397252,410644,282866,282884,284883,293633,318555,332078,347939,365026,383407,382289,215026,215042,217091,226689,238872,255306,268711,280921,291340,319120,162261,162288,162983,167197,172566,180093,189827,198751,208581,221148,118278,118328,119446,122602,125138,127272,129333,133074,137291,142462,103400,103500,104701,109208,113777,117960,122994,129004,133252,136727
3,Arkansas,2915918,2916031,2921737,2938640,2949208,2956780,2964800,2975626,2988231,3004279,197689,197692,197365,196086,194180,191474,190937,190993,191243,191435,196877,196883,196903,197340,199244,200062,198801,197866,196597,195143,197559,197563,198022,199305,198776,198172,197771,196934,197057,199158,203805,203807,203199,199717,197360,196803,196757,197993,198695,198327,199650,199652,201490,207694,210962,212450,212104,208517,204612,202825,192153,192155,192197,191420,190900,190668,192203,196611,201791,205551,183739,183746,184792,188639,191087,192604,192849,191285,190138,189913,183614,183621,183046,179511,177850,178367,179894,183144,186973,189713,182594,182600,182925,185135,186274,185992,184131,181496,177514,176563,205544,205551,204816,199704,193779,187648,182368,180875,182921,184419,201722,201727,202146,203671,203176,203376,202949,200733,195675,190232,183960,183971,184970,188099,191346,193142,194198,195933,197496,197723,167031,167038,168310,174777,172081,172669,174605,177373,180397,184133,133367,133373,133682,134965,144059,148190,153020,157542,163306,161359,101235,101240,101803,104315,107981,112690,116439,118811,120164,129150,77741,77748,77962,78962,79657,81055,82937,84772,87262,90646,56236,56249,56374,56604,56743,57087,57489,58387,59144,60107,51402,51415,51735,52696,53753,54331,55348,56361,57246,57882
4,California,37253956,37254518,37327690,37672654,38019006,38347383,38701278,39032444,39296476,39536653,2531333,2531337,2530455,2534569,2517190,2502704,2506873,2508080,2484772,2471513,2505839,2505839,2504991,2513839,2540130,2557993,2552838,2542841,2537586,2514352,2590930,2590932,2584224,2563681,2539386,2527672,2526046,2519450,2521944,2542780,2823940,2823959,2808653,2748030,2702537,2660411,2621049,2601674,2584121,2562668,2765949,2765970,2785504,2862193,2915099,2926032,2921844,2876341,2814877,2767775,2744409,2744433,2749352,2776203,2800081,2842478,2914017,2995727,3078838,3130234,2573468,2573486,2585303,2639016,2697289,2757449,2807410,2836224,2869571,2893545,2573579,2573602,2564030,2522809,2520139,2533145,2560490,2609080,2660242,2713487,2609131,2609170,2613246,2637486,2643122,2628325,2598821,2556436,2516418,2509575,2689819,2689859,2683147,2648720,2614862,2586208,2569031,2586074,2607259,2607438,2562552,2562587,2572100,2604873,2620528,2635384,2648886,2629924,2593105,2555250,2204296,2204332,2220469,2284335,2352815,2407215,2446810,2491033,2519483,2528756,1832197,1832239,1851925,1940750,1956137,2001551,2059250,2119921,2175783,2233922,1303558,1303592,1316361,1370821,1492548,1571281,1654775,1739335,1816445,1825565,971778,971813,978739,1009836,1051858,1110762,1163582,1217542,1264633,1370235,766971,767025,767254,777239,792585,815036,842110,868622,894987,929630,603239,603280,605073,609475,612987,616518,621007,627245,635363,647135,600968,601063,606864,628779,649713,667219,686439,706895,721049,732793
5,Colorado,5029196,5029325,5048029,5116411,5186330,5262556,5342311,5440445,5530105,5607154,343960,343960,344032,341434,337720,334332,333700,334402,335103,336207,348603,348603,348888,351272,354397,355953,355180,355399,353832,349903,332654,332654,333890,339317,343065,348470,353958,357458,359685,363136,339475,339476,341142,340963,339157,339489,342147,347627,353164,356450,348615,348633,350168,355046,361346,368333,374333,378138,379255,377367,372459,372480,373609,379554,384663,389859,397946,412296,426599,440350,353819,353835,356284,367540,378550,389290,398852,409844,421197,430312,353605,353627,352323,346209,347371,353374,361966,374701,389095,401373,346039,346053,347920,356577,362076,364012,362287,360503,356651,358401,371635,371654,369673,359064,350435,344797,343619,350056,360241,366386,371063,371073,371894,375056,374997,374346,372279,366525,357263,348747,328364,328370,330669,339057,347719,353819,358851,364714,369309,368749,269280,269282,273152,290271,293756,302763,311807,321289,329623,337731,182492,182492,184615,193803,215919,230331,245409,261222,277052,279914,127468,127468,128716,134527,142239,153275,162370,171305,179128,199306,96908,96908,97135,98735,101206,105056,109307,113574,118408,124737,73144,73144,73594,74967,76093,76893,77655,78737,79951,81817,69613,69613,70325,73019,75621,78164,80645,82655,84549,86268
6,Connecticut,3574097,3574114,3580171,3591927,3597705,3602470,3600188,3593862,3587685,3588184,202106,202109,201301,197965,194306,190707,188459,186567,184228,183321,222571,222572,221863,219604,217632,214705,210157,205882,202376,199435,240265,240267,239643,237952,234551,231973,228733,225034,221987,220038,250834,250832,253642,257253,257237,254325,252233,249741,247788,245081,227898,227899,229324,230121,232861,238865,244491,247295,248457,248134,214145,214147,215153,218229,219341,220885,220672,220295,220005,222575,206232,206235,207056,210879,214312,217075,218208,218628,220407,221623,222401,222403,220347,211459,207708,207094,208038,210410,213053,215791,262037,262038,260501,255790,249175,240912,230822,220234,210716,206940,291272,291273,290568,285109,278630,270817,261907,255721,250187,243944,284325,284323,285008,288084,287609,286126,284964,281217,274996,268373,240157,240160,242336,250174,258020,264565,268598,271711,273553,272267,203295,203296,204625,211827,209934,213489,219033,225390,231714,238252,149281,149280,150752,156189,169091,173708,179065,184769,190317,188250,105663,105665,106236,109334,114870,123766,130036,134872,139086,150013,89252,89252,88878,88115,88235,89424,91310,92953,95361,100084,77465,77465,77486,76749,75415,73892,72491,71691,71330,71408,84898,84898,85452,87094,88778,90142,90971,91452,92124,92655
7,Delaware,897934,897936,899712,907884,916868,925114,934805,944107,952698,961939,55886,55886,55894,55914,55989,55534,55414,55401,55187,54992,56486,56486,56426,56350,56753,56729,56645,56666,56742,56671,56848,56848,56871,57160,57105,57065,57138,57104,57381,57604,64583,64583,64084,62617,61579,60459,59768,60043,60264,60541,62867,62867,63264,65017,66169,65805,64686,62577,60604,59650,57603,57603,57758,58479,59365,61346,63966,66207,67629,68250,53814,53814,54215,55878,57418,58487,59169,59597,60272,61028,55329,55329,54872,52914,52058,52451,53677,55267,56706,57895,60758,60758,60594,60250,59342,58328,56947,55125,52967,52421,67556,67556,67439,66433,65168,63212,61520,60991,60615,59724,65998,65998,66220,66948,67371,67677,68003,67774,66916,65809,57816,57816,58325,60040,62186,63935,65565,66823,67910,68556,53113,53113,53646,56102,55584,56553,58108,60082,62349,64670,41809,41809,42078,43404,47320,49723,52362,55141,58068,58226,30644,30646,30936,32195,34079,36650,38753,40542,42102,46321,23885,23885,23884,24112,24467,25481,26619,27443,28756,30541,17195,17195,17359,17794,18102,18377,18573,18902,19194,19524,15744,15744,15847,16277,16813,17302,17892,18422,19036,19516
8,District of Columbia,601723,601766,605040,620336,635630,650114,660797,672736,684336,693972,32613,32614,33275,36231,38817,41175,42833,44169,44465,45035,26147,26148,26156,26677,28092,29758,30858,32268,34159,36123,25041,25043,24939,24821,25044,25420,25914,26346,26557,27603,39919,39925,39760,39130,38486,37574,36886,36614,36673,36919,64110,64118,63314,60811,58558,56634,55823,55043,54349,53576,69649,69654,70566,74762,78257,80246,80591,81416,82573,83447,55096,55099,56232,61194,65658,69902,72452,74986,77550,79155,42925,42932,43226,43953,45482,47841,50541,53801,57332,59943,37734,37737,38038,39409,40519,41220,41538,41605,41397,42095,38539,38541,38619,38694,38383,38088,37725,37843,38637,38821,37164,37165,37269,37660,37932,38559,38871,38763,38359,37394,34274,34275,34489,35313,35935,36612,36694,36856,37003,36638,29703,29705,30053,31498,31715,32033,32557,32972,33235,33489,21488,21488,21619,22120,23644,24794,25989,27169,28255,28021,15481,15481,15568,15937,16578,17287,18062,18724,19055,20198,11820,11820,11808,11914,12104,12354,12637,13068,13419,13903,9705,9706,9699,9519,9388,9374,9282,9279,9403,9479,10315,10315,10410,10693,11038,11243,11544,11814,11915,12133
9,Florida,18801310,18804594,18846461,19097369,19341327,19584927,19897747,20268567,20656589,20984400,1073506,1073505,1071477,1072375,1072781,1073054,1088191,1109048,1126865,1138095,1080255,1080253,1079177,1082831,1097409,1115360,1123603,1133804,1146149,1151438,1130847,1130860,1131042,1135516,1135648,1134271,1138449,1145877,1161087,1181330,1228382,1228557,1220939,1194618,1175693,1174648,1174179,1185503,1198540,1203740,1228758,1229069,1239488,1285771,1313169,1320411,1318595,1302530,1281767,1269168,1179227,1179634,1184563,1209770,1232793,1256627,1297330,1346916,1394249,1421894,1110318,1110723,1116679,1148080,1179883,1207418,1237445,1265891,1297507,1320786,1178467,1178878,1172527,1147267,1140727,1146350,1166769,1203893,1245171,1280618,1252787,1253232,1253003,1264423,1270422,1269688,1264071,1251783,1236780,1237233,1401202,1401667,1398738,1382484,1359343,1331097,1309582,1312994,1334113,1348105,1340291,1340611,1346870,1376851,1392875,1409670,1431439,1440369,1434721,1419730,1202418,1202554,1210248,1243632,1280808,1312208,1344687,1382220,1422246,1448417,1135250,1135323,1143149,1192564,1179666,1191764,1222733,1262077,1303453,1349211,959233,959270,964905,990691,1067134,1104226,1153154,1206706,1263616,1256319,768707,768715,773953,797544,831922,884733,925736,965308,1000913,1086197,615514,615520,616422,625939,640425,662760,690565,715691,744385,781063,482023,482040,484583,490965,494674,496888,499504,508723,520835,535504,434125,434183,438698,456048,475955,493754,511715,529234,544192,555552
10,Georgia,9687653,9688690,9712696,9810595,9911171,9981773,10083850,10199533,10313620,10429379,686785,686795,684785,679596,671494,661418,658572,659468,660269,660313,695161,695174,694408,694994,698869,703090,702391,701427,698738,693368,689684,689706,691546,699703,703046,705888,710130,710817,715197,722364,709999,710185,709848,703207,699103,695041,697007,707043,716597,723736,680080,680404,684352,703055,723564,728256,733521,731064,722810,718348,673935,674093,673678,674875,677475,679409,694761,713445,735430,755708,661625,661696,664203,674878,682179,685364,687413,687969,691671,697618,698059,698098,693777,672408,661405,657599,661628,673210,687135,697558,699481,699502,701416,711717,717710,716758,708775,695359,676922,669908,722661,722681,723325,718068,710091,699836,692905,697520,709984,717726,668591,668625,671679,683811,691287,698824,707102,710172,706896,701360,573551,573575,577869,593672,612126,626200,638908,653014,665419,673810,496006,496034,500963,524681,523670,529487,541073,555804,571283,589752,356007,356026,359230,372549,408346,429928,452655,474979,497123,495732,250422,250429,252936,263634,278599,299442,315870,330162,342230,375147,182735,182753,183761,189055,194302,201471,210756,219168,229110,241769,129048,129070,129878,131996,134604,136916,139541,143900,148208,152565,113823,113844,115042,118696,123301,126846,130842,135012,138598,142597
