,State,Total_Population 13,%_M_13,%_F_13,Total_Population 14,%_M_14,%_F_14,Total_Population 15,%_M_15,%_F_15,Total_Population 16,%_M_16,%_F_16,Total_Population 17,%_M_17,%_F_17
0,Alabama,4799277,48.5,51.5,4817678,48.5,51.5,4830620,48.5,51.5,4841164,48.5,51.5,4850771,48.5,51.5
1,Alaska,720316,52.2,47.8,728300,52.2,47.8,733375,52.4,47.6,736855,52.3,47.7,738565,52.3,47.7
2,Arizona,6479703,49.7,50.3,6561516,49.7,50.3,6641928,49.7,50.3,6728577,49.7,50.3,6809946,49.7,50.3
3,Arkansas,2933369,49.1,50.9,2947036,49.1,50.9,2958208,49.1,50.9,2968472,49.1,50.9,2977944,49.1,50.9
4,California,37659181,49.7,50.3,38066920,49.7,50.3,38421464,49.7,50.3,38654206,49.7,50.3,38982847,49.7,50.3
5,Colorado,5119329,50.2,49.8,5197580,50.2,49.8,5278906,50.2,49.8,5359295,50.2,49.8,5436519,50.2,49.8
6,Connecticut,3583561,48.7,51.3,3592053,48.7,51.3,3593222,48.7,51.3,3588570,48.8,51.2,3594478,48.8,51.2
7,Delaware,908446,48.4,51.6,917060,48.4,51.6,926454,48.4,51.6,934695,48.4,51.6,943732,48.4,51.6
8,District of Columbia,619371,47.3,52.7,633736,47.3,52.7,647484,47.4,52.6,659009,47.4,52.6,672391,47.4,52.6
9,Florida,19091156,48.9,51.1,19361792,48.9,51.1,19645772,48.9,51.1,19934451,48.9,51.1,20278447,48.9,51.1
10,Georgia,9810417,48.9,51.1,9907756,48.8,51.2,10006693,48.8,51.2,10099320,48.7,51.3,10201635,48.7,51.3
11,Hawaii,1376298,50.2,49.8,1392704,50.4,49.6,1406299,50.5,49.5,1413673,50.2,49.8,1421658,50.2,49.8
12,Idaho,1583364,50.1,49.9,1599464,50.1,49.9,1616547,50.1,49.9,1635483,50.1,49.9,1657375,50.1,49.9
13,Illinois,12848554,49.1,50.9,12868747,49.1,50.9,12873761,49.1,50.9,12851684,49.1,50.9,12854526,49.1,50.9
14,Indiana,6514861,49.2,50.8,6542411,49.2,50.8,6568645,49.3,50.7,6589578,49.2,50.8,6614418,49.3,50.7
15,Iowa,3062553,49.5,50.5,3078116,49.6,50.4,3093526,49.6,50.4,3106589,49.7,50.3,3118102,49.6,50.4
16,Kansas,2868107,49.7,50.3,2882946,49.7,50.3,2892987,49.8,50.2,2898292,49.8,50.2,2903820,49.8,50.2
17,Kentucky,4361333,49.2,50.8,4383272,49.2,50.8,4397353,49.2,50.8,4411989,49.2,50.8,4424376,49.3,50.7
18,Louisiana,4567968,48.9,51.1,4601049,48.9,51.1,4625253,48.9,51.1,4645670,48.9,51.1,4663461,48.9,51.1
19,Maine,1328320,48.9,51.1,1328535,48.9,51.1,1329100,48.9,51.1,1329923,49.0,51.0,1330158,48.9,51.1
